url_path,views_total,views_unique
/profeshnul-duvlupur/email-tsunami,295,184
/profeshnul-duvlupur/email-tsunami/tree/master/.github/workflows,95,33
/profeshnul-duvlupur/email-tsunami/blob/master/.github/workflows/dd.yml,35,16
/profeshnul-duvlupur/email-tsunami/blob/master/README.md,25,10
/profeshnul-duvlupur/email-tsunami/blob/master/LICENSE,16,7
/profeshnul-duvlupur/email-tsunami/issues,12,11
/profeshnul-duvlupur/email-tsunami/tree/master/.github,12,6
/profeshnul-duvlupur/email-tsunami/tree/master,10,7
/profeshnul-duvlupur/email-tsunami/commits,4,3
/profeshnul-duvlupur/email-tsunami/issues/1,3,3
