time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-03 00:00:00+00:00,3,3,44,22
2023-12-04 00:00:00+00:00,5,5,26,15
2023-12-05 00:00:00+00:00,4,4,29,9
2023-12-06 00:00:00+00:00,4,4,32,11
2023-12-07 00:00:00+00:00,6,5,11,7
2023-12-08 00:00:00+00:00,1,1,61,17
2023-12-09 00:00:00+00:00,5,5,24,12
2023-12-10 00:00:00+00:00,2,2,32,9
2023-12-11 00:00:00+00:00,4,4,28,12
2023-12-12 00:00:00+00:00,3,3,56,32
2023-12-13 00:00:00+00:00,2,2,43,21
2023-12-14 00:00:00+00:00,2,2,70,18
2023-12-15 00:00:00+00:00,3,3,45,18
2023-12-16 00:00:00+00:00,1,1,54,19
