url_path,views_total,views_unique
/profeshnul-duvlupur/email-tsunami,109,44
/profeshnul-duvlupur/email-tsunami/tree/master/.github/workflows,15,5
/profeshnul-duvlupur/email-tsunami/blob/master/.github/workflows/dd.yml,11,5
/profeshnul-duvlupur/email-tsunami/tree/github-repo-stats,8,3
/profeshnul-duvlupur/email-tsunami/blob/master/README.md,6,3
/profeshnul-duvlupur/email-tsunami/tree/github-repo-stats/profeshnul-duvlupur/email-tsunami/latest-report,6,1
/profeshnul-duvlupur/email-tsunami/actions,5,3
/profeshnul-duvlupur/email-tsunami/actions/workflows/dd.yml,5,1
/profeshnul-duvlupur/email-tsunami/edit/master/README.md,5,1
/profeshnul-duvlupur/email-tsunami/blob/github-repo-stats/profeshnul-duvlupur/email-tsunami/latest-report/report.md,4,1
