url_path,views_total,views_unique
/profeshnul-duvlupur/email-tsunami,275,93
/profeshnul-duvlupur/email-tsunami/stargazers,69,9
/profeshnul-duvlupur/email-tsunami/tree/master/.github/workflows,21,8
/profeshnul-duvlupur/email-tsunami/tree/github-repo-stats/profeshnul-duvlupur/email-tsunami/latest-report,17,3
/profeshnul-duvlupur/email-tsunami/tree/github-repo-stats,13,5
/profeshnul-duvlupur/email-tsunami/tree/github-repo-stats/profeshnul-duvlupur/email-tsunami,12,3
/profeshnul-duvlupur/email-tsunami/blob/master/.github/workflows/dd.yml,11,5
/profeshnul-duvlupur/email-tsunami/blob/github-repo-stats/profeshnul-duvlupur/email-tsunami/latest-report/report.pdf,8,3
/profeshnul-duvlupur/email-tsunami/issues,7,6
/profeshnul-duvlupur/email-tsunami/blob/master/README.md,6,3
