url_path,views_total,views_unique
/profeshnul-duvlupur/email-tsunami,54,13
/profeshnul-duvlupur/email-tsunami/tree/master/.github/workflows,10,4
/profeshnul-duvlupur/email-tsunami/tree/github-repo-stats,6,2
/profeshnul-duvlupur/email-tsunami/actions/workflows/dd.yml,5,1
/profeshnul-duvlupur/email-tsunami/edit/master/README.md,5,1
/profeshnul-duvlupur/email-tsunami/actions,4,2
/profeshnul-duvlupur/email-tsunami/blob/master/.github/workflows/dd.yml,4,2
/profeshnul-duvlupur/email-tsunami/blob/master/README.md,4,2
/profeshnul-duvlupur/email-tsunami/actions/runs/6920672106,3,2
/profeshnul-duvlupur/email-tsunami/actions/runs/6920574321,3,1
