url_path,views_total,views_unique
/profeshnul-duvlupur/email-tsunami,353,132
/profeshnul-duvlupur/email-tsunami/stargazers,80,11
/profeshnul-duvlupur/email-tsunami/tree/master/.github/workflows,33,14
/profeshnul-duvlupur/email-tsunami/tree/github-repo-stats/profeshnul-duvlupur/email-tsunami/latest-report,17,3
/profeshnul-duvlupur/email-tsunami/issues,14,11
/profeshnul-duvlupur/email-tsunami/blob/master/.github/workflows/dd.yml,13,6
/profeshnul-duvlupur/email-tsunami/tree/github-repo-stats,13,5
/profeshnul-duvlupur/email-tsunami/tree/github-repo-stats/profeshnul-duvlupur/email-tsunami,12,3
/profeshnul-duvlupur/email-tsunami/tree/master,10,5
/profeshnul-duvlupur/email-tsunami/blob/master/README.md,8,4
