url_path,views_total,views_unique
/profeshnul-duvlupur/email-tsunami,148,67
/profeshnul-duvlupur/email-tsunami/tree/master/.github/workflows,17,6
/profeshnul-duvlupur/email-tsunami/tree/github-repo-stats/profeshnul-duvlupur/email-tsunami/latest-report,13,3
/profeshnul-duvlupur/email-tsunami/blob/master/.github/workflows/dd.yml,11,5
/profeshnul-duvlupur/email-tsunami/tree/github-repo-stats,10,5
/profeshnul-duvlupur/email-tsunami/tree/github-repo-stats/profeshnul-duvlupur/email-tsunami,9,3
/profeshnul-duvlupur/email-tsunami/blob/github-repo-stats/profeshnul-duvlupur/email-tsunami/latest-report/report.pdf,6,3
/profeshnul-duvlupur/email-tsunami/blob/master/README.md,6,3
/profeshnul-duvlupur/email-tsunami/blob/github-repo-stats/profeshnul-duvlupur/email-tsunami/latest-report/report.md,6,2
/profeshnul-duvlupur/email-tsunami/actions,5,3
