url_path,views_total,views_unique
/profeshnul-duvlupur/email-tsunami,269,152
/profeshnul-duvlupur/email-tsunami/tree/master/.github/workflows,65,25
/profeshnul-duvlupur/email-tsunami/stargazers,26,10
/profeshnul-duvlupur/email-tsunami/blob/master/.github/workflows/dd.yml,21,10
/profeshnul-duvlupur/email-tsunami/tree/master/.github,18,5
/profeshnul-duvlupur/email-tsunami/issues,12,8
/profeshnul-duvlupur/email-tsunami/tree/master,12,7
/profeshnul-duvlupur/email-tsunami/blob/master/README.md,12,4
/profeshnul-duvlupur/email-tsunami/blob/master/LICENSE,4,2
/profeshnul-duvlupur/email-tsunami/tree/github-repo-stats/profeshnul-duvlupur/email-tsunami/latest-report,4,1
