url_path,views_total,views_unique
/profeshnul-duvlupur/email-tsunami,130,59
/profeshnul-duvlupur/email-tsunami/tree/master/.github/workflows,17,6
/profeshnul-duvlupur/email-tsunami/blob/master/.github/workflows/dd.yml,11,5
/profeshnul-duvlupur/email-tsunami/tree/github-repo-stats,9,4
/profeshnul-duvlupur/email-tsunami/tree/github-repo-stats/profeshnul-duvlupur/email-tsunami/latest-report,9,2
/profeshnul-duvlupur/email-tsunami/blob/master/README.md,6,3
/profeshnul-duvlupur/email-tsunami/blob/github-repo-stats/profeshnul-duvlupur/email-tsunami/latest-report/report.md,6,2
/profeshnul-duvlupur/email-tsunami/actions,5,3
/profeshnul-duvlupur/email-tsunami/tree/github-repo-stats/profeshnul-duvlupur/email-tsunami,5,2
/profeshnul-duvlupur/email-tsunami/actions/workflows/dd.yml,5,1
