url_path,views_total,views_unique
/profeshnul-duvlupur/email-tsunami,252,83
/profeshnul-duvlupur/email-tsunami/stargazers,60,7
/profeshnul-duvlupur/email-tsunami/tree/master/.github/workflows,21,8
/profeshnul-duvlupur/email-tsunami/tree/github-repo-stats/profeshnul-duvlupur/email-tsunami/latest-report,13,3
/profeshnul-duvlupur/email-tsunami/blob/master/.github/workflows/dd.yml,11,5
/profeshnul-duvlupur/email-tsunami/tree/github-repo-stats,10,5
/profeshnul-duvlupur/email-tsunami/tree/github-repo-stats/profeshnul-duvlupur/email-tsunami,9,3
/profeshnul-duvlupur/email-tsunami/issues,6,5
/profeshnul-duvlupur/email-tsunami/blob/github-repo-stats/profeshnul-duvlupur/email-tsunami/latest-report/report.pdf,6,3
/profeshnul-duvlupur/email-tsunami/blob/master/README.md,6,3
