url_path,views_total,views_unique
/profeshnul-duvlupur/email-tsunami,296,178
/profeshnul-duvlupur/email-tsunami/tree/master/.github/workflows,93,32
/profeshnul-duvlupur/email-tsunami/blob/master/.github/workflows/dd.yml,34,16
/profeshnul-duvlupur/email-tsunami/tree/master/.github,22,8
/profeshnul-duvlupur/email-tsunami/blob/master/README.md,18,7
/profeshnul-duvlupur/email-tsunami/issues,10,9
/profeshnul-duvlupur/email-tsunami/tree/master,9,7
/profeshnul-duvlupur/email-tsunami/blob/master/LICENSE,9,4
/profeshnul-duvlupur/email-tsunami/stargazers,8,6
/profeshnul-duvlupur/email-tsunami/commits,3,2
