url_path,views_total,views_unique
/profeshnul-duvlupur/email-tsunami,253,151
/profeshnul-duvlupur/email-tsunami/tree/master/.github/workflows,82,28
/profeshnul-duvlupur/email-tsunami/blob/master/.github/workflows/dd.yml,31,14
/profeshnul-duvlupur/email-tsunami/blob/master/README.md,23,9
/profeshnul-duvlupur/email-tsunami/blob/master/LICENSE,16,7
/profeshnul-duvlupur/email-tsunami/issues,11,10
/profeshnul-duvlupur/email-tsunami/tree/master,10,7
/profeshnul-duvlupur/email-tsunami/tree/master/.github,10,5
/profeshnul-duvlupur/email-tsunami/issues/1,3,3
/profeshnul-duvlupur/email-tsunami/commits,3,2
