url_path,views_total,views_unique
/profeshnul-duvlupur/email-tsunami,311,181
/profeshnul-duvlupur/email-tsunami/tree/master/.github/workflows,83,30
/profeshnul-duvlupur/email-tsunami/blob/master/.github/workflows/dd.yml,30,14
/profeshnul-duvlupur/email-tsunami/blob/master/README.md,20,8
/profeshnul-duvlupur/email-tsunami/tree/master/.github,18,7
/profeshnul-duvlupur/email-tsunami/blob/master/LICENSE,11,5
/profeshnul-duvlupur/email-tsunami/issues,10,9
/profeshnul-duvlupur/email-tsunami/tree/master,9,7
/profeshnul-duvlupur/email-tsunami/stargazers,7,6
/profeshnul-duvlupur/email-tsunami/commits,3,2
