url_path,views_total,views_unique
/profeshnul-duvlupur/email-tsunami,309,187
/profeshnul-duvlupur/email-tsunami/tree/master/.github/workflows,97,34
/profeshnul-duvlupur/email-tsunami/blob/master/.github/workflows/dd.yml,35,16
/profeshnul-duvlupur/email-tsunami/blob/master/README.md,27,11
/profeshnul-duvlupur/email-tsunami/blob/master/LICENSE,18,8
/profeshnul-duvlupur/email-tsunami/tree/master/.github,14,7
/profeshnul-duvlupur/email-tsunami/issues,12,11
/profeshnul-duvlupur/email-tsunami/tree/master,9,6
/profeshnul-duvlupur/email-tsunami/commits,4,3
/profeshnul-duvlupur/email-tsunami/issues/1,3,3
