url_path,views_total,views_unique
/profeshnul-duvlupur/email-tsunami,278,173
/profeshnul-duvlupur/email-tsunami/tree/master/.github/workflows,70,27
/profeshnul-duvlupur/email-tsunami/blob/master/.github/workflows/dd.yml,23,11
/profeshnul-duvlupur/email-tsunami/tree/master/.github,20,6
/profeshnul-duvlupur/email-tsunami/blob/master/README.md,14,5
/profeshnul-duvlupur/email-tsunami/issues,11,8
/profeshnul-duvlupur/email-tsunami/tree/master,11,6
/profeshnul-duvlupur/email-tsunami/stargazers,10,6
/profeshnul-duvlupur/email-tsunami/blob/master/LICENSE,6,3
/profeshnul-duvlupur/email-tsunami/fork,3,1
