url_path,views_total,views_unique
/profeshnul-duvlupur/email-tsunami,205,119
/profeshnul-duvlupur/email-tsunami/tree/master/.github/workflows,79,29
/profeshnul-duvlupur/email-tsunami/blob/master/.github/workflows/dd.yml,24,11
/profeshnul-duvlupur/email-tsunami/blob/master/README.md,15,6
/profeshnul-duvlupur/email-tsunami/issues,11,10
/profeshnul-duvlupur/email-tsunami/blob/master/LICENSE,9,4
/profeshnul-duvlupur/email-tsunami/tree/master/.github,7,3
/profeshnul-duvlupur/email-tsunami/actions,4,2
/profeshnul-duvlupur/email-tsunami/tree/master,4,2
/profeshnul-duvlupur/email-tsunami/issues/1,3,3
