url_path,views_total,views_unique
/profeshnul-duvlupur/email-tsunami,218,128
/profeshnul-duvlupur/email-tsunami/tree/master/.github/workflows,81,29
/profeshnul-duvlupur/email-tsunami/blob/master/.github/workflows/dd.yml,26,12
/profeshnul-duvlupur/email-tsunami/blob/master/README.md,21,8
/profeshnul-duvlupur/email-tsunami/issues,11,10
/profeshnul-duvlupur/email-tsunami/blob/master/LICENSE,11,5
/profeshnul-duvlupur/email-tsunami/tree/master/.github,6,3
/profeshnul-duvlupur/email-tsunami/tree/master,4,3
/profeshnul-duvlupur/email-tsunami/actions,4,2
/profeshnul-duvlupur/email-tsunami/issues/1,3,3
