url_path,views_total,views_unique
/profeshnul-duvlupur/email-tsunami,315,182
/profeshnul-duvlupur/email-tsunami/tree/master/.github/workflows,90,32
/profeshnul-duvlupur/email-tsunami/blob/master/.github/workflows/dd.yml,34,16
/profeshnul-duvlupur/email-tsunami/blob/master/README.md,24,9
/profeshnul-duvlupur/email-tsunami/tree/master/.github,20,8
/profeshnul-duvlupur/email-tsunami/tree/master,11,8
/profeshnul-duvlupur/email-tsunami/blob/master/LICENSE,11,5
/profeshnul-duvlupur/email-tsunami/issues,10,9
/profeshnul-duvlupur/email-tsunami/stargazers,6,5
/profeshnul-duvlupur/email-tsunami/commits,3,2
