url_path,views_total,views_unique
/profeshnul-duvlupur/email-tsunami,205,123
/profeshnul-duvlupur/email-tsunami/tree/master/.github/workflows,86,31
/profeshnul-duvlupur/email-tsunami/blob/master/.github/workflows/dd.yml,26,12
/profeshnul-duvlupur/email-tsunami/blob/master/README.md,16,6
/profeshnul-duvlupur/email-tsunami/tree/master/.github,14,5
/profeshnul-duvlupur/email-tsunami/issues,10,9
/profeshnul-duvlupur/email-tsunami/blob/master/LICENSE,10,4
/profeshnul-duvlupur/email-tsunami/tree/master,8,4
/profeshnul-duvlupur/email-tsunami/actions,4,2
/profeshnul-duvlupur/email-tsunami/pulls,3,3
