url_path,views_total,views_unique
/profeshnul-duvlupur/email-tsunami,336,153
/profeshnul-duvlupur/email-tsunami/stargazers,83,12
/profeshnul-duvlupur/email-tsunami/tree/master/.github/workflows,62,24
/profeshnul-duvlupur/email-tsunami/blob/master/.github/workflows/dd.yml,19,9
/profeshnul-duvlupur/email-tsunami/tree/master/.github,15,4
/profeshnul-duvlupur/email-tsunami/issues,13,9
/profeshnul-duvlupur/email-tsunami/tree/master,11,6
/profeshnul-duvlupur/email-tsunami/blob/master/README.md,10,3
/profeshnul-duvlupur/email-tsunami/blob/master/LICENSE,8,3
/profeshnul-duvlupur/email-tsunami/stargazers/you_know,6,2
