time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-26 00:00:00+00:00,3,3,11,7
2023-12-27 00:00:00+00:00,2,2,44,7
2023-12-28 00:00:00+00:00,3,3,41,11
2023-12-29 00:00:00+00:00,2,2,33,11
2023-12-30 00:00:00+00:00,2,2,26,9
2023-12-31 00:00:00+00:00,3,3,25,10
2024-01-01 00:00:00+00:00,5,4,20,5
2024-01-02 00:00:00+00:00,1,1,22,7
2024-01-03 00:00:00+00:00,2,2,33,15
2024-01-04 00:00:00+00:00,4,4,46,14
2024-01-05 00:00:00+00:00,2,2,12,11
2024-01-06 00:00:00+00:00,2,2,14,9
2024-01-07 00:00:00+00:00,2,2,25,9
2024-01-08 00:00:00+00:00,3,3,33,4
