url_path,views_total,views_unique
/profeshnul-duvlupur/email-tsunami,327,146
/profeshnul-duvlupur/email-tsunami/stargazers,80,10
/profeshnul-duvlupur/email-tsunami/tree/master/.github/workflows,48,19
/profeshnul-duvlupur/email-tsunami/blob/master/.github/workflows/dd.yml,15,7
/profeshnul-duvlupur/email-tsunami/issues,13,9
/profeshnul-duvlupur/email-tsunami/tree/master,10,5
/profeshnul-duvlupur/email-tsunami/tree/master/.github,10,3
/profeshnul-duvlupur/email-tsunami/blob/master/LICENSE,8,3
/profeshnul-duvlupur/email-tsunami/tree/github-repo-stats/profeshnul-duvlupur/email-tsunami/latest-report,8,1
/profeshnul-duvlupur/email-tsunami/tree/github-repo-stats/profeshnul-duvlupur/email-tsunami,7,1
