url_path,views_total,views_unique
/profeshnul-duvlupur/email-tsunami,288,177
/profeshnul-duvlupur/email-tsunami/tree/master/.github/workflows,88,31
/profeshnul-duvlupur/email-tsunami/blob/master/.github/workflows/dd.yml,33,15
/profeshnul-duvlupur/email-tsunami/tree/master/.github,18,6
/profeshnul-duvlupur/email-tsunami/blob/master/README.md,14,5
/profeshnul-duvlupur/email-tsunami/blob/master/LICENSE,11,5
/profeshnul-duvlupur/email-tsunami/issues,7,6
/profeshnul-duvlupur/email-tsunami/tree/master,7,6
/profeshnul-duvlupur/email-tsunami/stargazers,7,5
/profeshnul-duvlupur/email-tsunami/fork,3,1
