url_path,views_total,views_unique
/profeshnul-duvlupur/email-tsunami,266,156
/profeshnul-duvlupur/email-tsunami/tree/master/.github/workflows,67,26
/profeshnul-duvlupur/email-tsunami/blob/master/.github/workflows/dd.yml,21,10
/profeshnul-duvlupur/email-tsunami/tree/master/.github,20,6
/profeshnul-duvlupur/email-tsunami/stargazers,17,8
/profeshnul-duvlupur/email-tsunami/blob/master/README.md,14,5
/profeshnul-duvlupur/email-tsunami/tree/master,12,7
/profeshnul-duvlupur/email-tsunami/issues,11,8
/profeshnul-duvlupur/email-tsunami/blob/master/LICENSE,6,3
/profeshnul-duvlupur/email-tsunami/issues/1,3,3
