time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-23 00:00:00+00:00,2.0,2.0,63,16
2023-12-24 00:00:00+00:00,2.0,2.0,7,6
2023-12-25 00:00:00+00:00,5.0,5.0,21,10
2023-12-26 00:00:00+00:00,3.0,3.0,11,7
2023-12-27 00:00:00+00:00,2.0,2.0,44,7
2023-12-28 00:00:00+00:00,3.0,3.0,41,11
2023-12-29 00:00:00+00:00,2.0,2.0,33,11
2023-12-30 00:00:00+00:00,2.0,2.0,26,9
2023-12-31 00:00:00+00:00,3.0,3.0,25,10
2024-01-01 00:00:00+00:00,5.0,4.0,20,5
2024-01-02 00:00:00+00:00,1.0,1.0,22,7
2024-01-03 00:00:00+00:00,2.0,2.0,33,15
2024-01-04 00:00:00+00:00,4.0,4.0,46,14
2024-01-05 00:00:00+00:00,,,10,9
