url_path,views_total,views_unique
/profeshnul-duvlupur/email-tsunami,214,129
/profeshnul-duvlupur/email-tsunami/tree/master/.github/workflows,82,29
/profeshnul-duvlupur/email-tsunami/blob/master/.github/workflows/dd.yml,28,13
/profeshnul-duvlupur/email-tsunami/blob/master/README.md,21,8
/profeshnul-duvlupur/email-tsunami/issues,11,10
/profeshnul-duvlupur/email-tsunami/blob/master/LICENSE,11,5
/profeshnul-duvlupur/email-tsunami/tree/master/.github,9,4
/profeshnul-duvlupur/email-tsunami/tree/master,7,4
/profeshnul-duvlupur/email-tsunami/actions,4,2
/profeshnul-duvlupur/email-tsunami/issues/1,3,3
