url_path,views_total,views_unique
/profeshnul-duvlupur/email-tsunami,275,174
/profeshnul-duvlupur/email-tsunami/tree/master/.github/workflows,70,26
/profeshnul-duvlupur/email-tsunami/blob/master/.github/workflows/dd.yml,23,11
/profeshnul-duvlupur/email-tsunami/tree/master/.github,18,6
/profeshnul-duvlupur/email-tsunami/blob/master/README.md,14,5
/profeshnul-duvlupur/email-tsunami/tree/master,9,5
/profeshnul-duvlupur/email-tsunami/issues,8,6
/profeshnul-duvlupur/email-tsunami/stargazers,7,5
/profeshnul-duvlupur/email-tsunami/blob/master/LICENSE,6,3
/profeshnul-duvlupur/email-tsunami/fork,3,1
