url_path,views_total,views_unique
/profeshnul-duvlupur/email-tsunami,313,182
/profeshnul-duvlupur/email-tsunami/tree/master/.github/workflows,82,30
/profeshnul-duvlupur/email-tsunami/blob/master/.github/workflows/dd.yml,32,15
/profeshnul-duvlupur/email-tsunami/blob/master/README.md,24,10
/profeshnul-duvlupur/email-tsunami/tree/master/.github,15,7
/profeshnul-duvlupur/email-tsunami/blob/master/LICENSE,13,6
/profeshnul-duvlupur/email-tsunami/tree/master,10,7
/profeshnul-duvlupur/email-tsunami/issues,9,8
/profeshnul-duvlupur/email-tsunami/stargazers,3,3
/profeshnul-duvlupur/email-tsunami/commits,3,2
