url_path,views_total,views_unique
/profeshnul-duvlupur/email-tsunami,197,118
/profeshnul-duvlupur/email-tsunami/tree/master/.github/workflows,77,28
/profeshnul-duvlupur/email-tsunami/blob/master/.github/workflows/dd.yml,22,10
/profeshnul-duvlupur/email-tsunami/issues,12,11
/profeshnul-duvlupur/email-tsunami/blob/master/README.md,12,5
/profeshnul-duvlupur/email-tsunami/blob/master/LICENSE,10,4
/profeshnul-duvlupur/email-tsunami/tree/master/.github,10,4
/profeshnul-duvlupur/email-tsunami/tree/master,6,3
/profeshnul-duvlupur/email-tsunami/actions,4,2
/profeshnul-duvlupur/email-tsunami/issues/1,3,3
