url_path,views_total,views_unique
/profeshnul-duvlupur/email-tsunami,204,120
/profeshnul-duvlupur/email-tsunami/tree/master/.github/workflows,83,30
/profeshnul-duvlupur/email-tsunami/blob/master/.github/workflows/dd.yml,26,12
/profeshnul-duvlupur/email-tsunami/blob/master/README.md,19,7
/profeshnul-duvlupur/email-tsunami/issues,11,10
/profeshnul-duvlupur/email-tsunami/blob/master/LICENSE,9,4
/profeshnul-duvlupur/email-tsunami/tree/master/.github,9,4
/profeshnul-duvlupur/email-tsunami/tree/master,6,3
/profeshnul-duvlupur/email-tsunami/actions,4,2
/profeshnul-duvlupur/email-tsunami/issues/1,3,3
