url_path,views_total,views_unique
/profeshnul-duvlupur/email-tsunami,196,122
/profeshnul-duvlupur/email-tsunami/tree/master/.github/workflows,71,27
/profeshnul-duvlupur/email-tsunami/blob/master/.github/workflows/dd.yml,21,10
/profeshnul-duvlupur/email-tsunami/blob/master/README.md,17,7
/profeshnul-duvlupur/email-tsunami/tree/master/.github,12,4
/profeshnul-duvlupur/email-tsunami/blob/master/LICENSE,7,3
/profeshnul-duvlupur/email-tsunami/tree/master,7,3
/profeshnul-duvlupur/email-tsunami/issues,6,6
/profeshnul-duvlupur/email-tsunami/actions,4,2
/profeshnul-duvlupur/email-tsunami/pulls,3,3
