url_path,views_total,views_unique
/profeshnul-duvlupur/email-tsunami,240,142
/profeshnul-duvlupur/email-tsunami/tree/master/.github/workflows,72,26
/profeshnul-duvlupur/email-tsunami/blob/master/README.md,27,11
/profeshnul-duvlupur/email-tsunami/blob/master/.github/workflows/dd.yml,25,12
/profeshnul-duvlupur/email-tsunami/issues,12,11
/profeshnul-duvlupur/email-tsunami/blob/master/LICENSE,11,5
/profeshnul-duvlupur/email-tsunami/tree/master,8,5
/profeshnul-duvlupur/email-tsunami/tree/master/.github,8,4
/profeshnul-duvlupur/email-tsunami/issues/1,3,3
/profeshnul-duvlupur/email-tsunami/commits,3,2
