url_path,views_total,views_unique
/profeshnul-duvlupur/email-tsunami,233,136
/profeshnul-duvlupur/email-tsunami/tree/master/.github/workflows,76,27
/profeshnul-duvlupur/email-tsunami/blob/master/.github/workflows/dd.yml,28,13
/profeshnul-duvlupur/email-tsunami/blob/master/README.md,25,10
/profeshnul-duvlupur/email-tsunami/issues,13,12
/profeshnul-duvlupur/email-tsunami/blob/master/LICENSE,11,5
/profeshnul-duvlupur/email-tsunami/tree/master/.github,6,3
/profeshnul-duvlupur/email-tsunami/issues/1,5,5
/profeshnul-duvlupur/email-tsunami/tree/master,5,4
/profeshnul-duvlupur/email-tsunami/actions,4,2
